restaurantLabel,cityLabel,stateLabel
Rays Pizzeria_San Antonio,San Antonio,Texas
Cozzolas Pizza Old Town_Fort Collins,Fort Collins,Colorado
Peppinos_Baldwin Place,Baldwin Place,New_York_(state)
Vesuvius Pizza_Brooklyn,Brooklyn,New_York_(state)
Reale''s Pizza Cafe_Austin,Austin,Texas
Sparky''s Pizza_Oregon City,Oregon City,Oregon
Townhouse Pizza_New Rochelle,New Rochelle,New_York_(state)
Slice_Kenosha,Kenosha,Wisconsin
Genova''s_York,York,Pennsylvania
Genova''s_York,York,South_Carolina
Alpha Pizza_Port Richey,Port Richey,Florida
Flippin Pizza_Vista,Vista,California
The Depot_Oneonta,Oneonta,New_York_(state)
Ginos NY Style Pizzeria_Palm Harbor,Palm Harbor,Florida
Rosatis Pizza_Yorkville,Yorkville,Illinois
Rosati''s_Morrisville,Morrisville,North_Carolina
Rosati''s_Morrisville,Morrisville,Pennsylvania
Johnny''s pizza_Conyers,Conyers,Georgia_(U.S._state)
Franks Pizza Restaurant_Bronx,Bronx,New_York_(state)
Giovanni''s Pizza_Concord,Concord,North_Carolina
Anthony''s NY Pizza_Casselberry,Casselberry,Florida
Ryan''s Village Pizza and Pub_Cocoa,Cocoa,Florida
Lucas Pizza_Indianapolis,Indianapolis,Indiana
Pats Pizzeria_Elkton,Elkton,Maryland
Johnny''s Pizza_Atlanta,Atlanta,Georgia_(U.S._state)
Juliano''s_Alexandria,Alexandria,Virginia
Carmelo''s Italian Pizza_Caledonia,Caledonia,Michigan
Big Al''s Chicago Style Pizza_New York,New York,New_York_(state)
Angela''s Pizza_Islip,Islip,New_York_(state)
Fiores Pizza_New York,New York,New_York_(state)
Hysen''s Nizza Pizza_Fort Worth,Fort Worth,Texas
Primos Brick Oven Pizza_Norristown,Norristown,Pennsylvania
Rascal House_Cleveland,Cleveland,Ohio
Little Caesars Pizza_Cedar Rapids,Cedar Rapids,Iowa
Al''s Pizza Subs_Mechanicsburg,Mechanicsburg,Pennsylvania
Saccones Pizza and Subs_Austin,Austin,Texas
The WurliTzer Pizza Co_North Tonawanda,North Tonawanda,New_York_(state)
Jacks Pizzeria_Bayside,Bayside,New_York_(state)
Stone Fired Pizza_Orlando,Orlando,Florida
Burke Street Pizza 2_Winston-Salem,Winston-Salem,North_Carolina
Casa DMama Pizzaria_Annandale,Annandale,Virginia
Silvios Restaurant Pizzeria_Thornwood,Thornwood,New_York_(state)
Molinaras NY Pizza Caffe_Tonawanda,Tonawanda,New_York_(state)
Pizza Forum_Fort Wayne,Fort Wayne,Indiana
ABC Pizza_Tampa,Tampa,Florida
Tony''s Cafe_Taneytown,Taneytown,Maryland
Gino &amp; Joe''s Pizza_Buffalo,Buffalo,New_York_(state)
Firenze Pizzeria_Albuquerque,Albuquerque,New_Mexico
Dean Anthony''s_Boynton Beach,Boynton Beach,Florida
New York Pizza_Cary,Cary,North_Carolina
Brooklyn Bros Pizzeria_Gainesville,Gainesville,Georgia_(U.S._state)
Brooklyn Bros Pizzeria_Gainesville,Gainesville,Virginia
Due Amici Pizzeria_Charlotte,Charlotte,North_Carolina
Santucci''s Square Pizza V_Philadelphia,Philadelphia,Pennsylvania
A New York Slice_Midlothian,Midlothian,Virginia
Royal Pizza Restaurant_Ridgewood,Ridgewood,New_York_(state)
Angelinas Pizza_Las Vegas,Las Vegas,Nevada
Tony''s New York Pizza_Bristow,Bristow,Virginia
Buon Gusto_Henderson,Henderson,Nevada
Buon Giorno_Windsor Mill,Baltimore,Maryland
Buon Giorno_Windsor Mill,Windsor Mill,Maryland
Villa Pizza_Las Vegas,Las Vegas,Nevada
Sal''s Gilbert Pizza_Gilbert,Gilbert,Arizona
Franconia Pizza_Alexandria,Alexandria,Virginia
Bravos Pizza of Avondale_Avondale,Avondale,Arizona
Bravos Pizza of Avondale_Avondale,Avondale,Pennsylvania
V.I. Pizza_Floral Park,Floral Park,New_York_(state)
Solo Pizza NYC_New York,New York,New_York_(state)
Pizza Supreme_Garden City,Garden City,New_York_(state)
Ginos Pizzeria_Port Washington,Port Washington,New_York_(state)
Franks Gourmet Pizza_Woodbury,Woodbury,New_York_(state)
Sunnyside Pizza_Sunnyside,Sunnyside,New_York_(state)
Grande Pizza Company_Fort Lauderdale,Fort Lauderdale,Florida
Chicago Pizza &amp; Sports Grille_Jacksonville,Jacksonville,Florida
Buckhead Pizza Co_Atlanta,Atlanta,Georgia_(U.S._state)
Lucianis Brick Oven Pizzeria_Fort Washington,Fort Washington,Pennsylvania
Novecento 900 Pizzeria_Las Vegas,Las Vegas,Nevada
Deer Hills Pizzeria_Deer Park,Deer Park,New_York_(state)
Fortunato Brothers_Baltimore,Baltimore,Maryland
Fortunato Brothers_Baltimore,Windsor Mill,Maryland
